Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Austria,AUT,1965,,,,,25.09640641287911,0,9.250028783901506,31.19548004777204,34.45808475544734,,,,,47.55726,0,17.528646,59.1149,65.29748
Austria,AUT,1966,,,,,25.840192959571773,0,9.489992003885218,28.47224249267492,36.1975725438681,,,,,51.24758,0,18.821033,56.467594,71.78886
Austria,AUT,1967,,,,,26.11892793798695,0,8.999485654781289,26.67696524981568,38.20462115741609,,,,,52.332794,0,18.031683,53.450897,76.54811
Austria,AUT,1968,,,,,25.099166566935008,0,8.97536873797969,24.632793002440796,41.29267169264451,,,,,53.772846,0,19.22897,52.77368,88.466064
Austria,AUT,1969,,,,,22.275368849727535,0,10.512110160946133,23.402523166128223,43.80999782319811,,,,,49.434944,0,23.329157,51.936398,97.22599
Austria,AUT,1970,,,,,24.770255944626484,0,11.13440394395685,21.976916388938434,42.118423722478234,,,,,62.953415,0,28.298002,55.854164,107.04365
Austria,AUT,1971,,,,,19.652300607463996,0,12.844204951843386,20.243706702516143,47.25978773817648,,,,,49.736855,0,32.506645,51.23361,119.607025
Austria,AUT,1972,,,,,19.524146683683174,0,13.417225228954544,17.742290361581215,49.316337725781054,,,,,51.119247,0,35.129753,46.453888,129.12288
Austria,AUT,1973,,,,,20.177389712004143,0,13.715741130092567,16.400731590027178,49.706137567876105,,,,,56.801395,0,38.6112,46.16972,139.92781
Austria,AUT,1974,,,,,23.734527157990247,0,14.790658738157699,17.218832552227116,44.25598155162494,,,,,67.15973,0,41.851967,48.72278,125.22768
Austria,AUT,1975,,,,,25.034245633713724,0,14.872655782979315,15.06440599942857,45.0286925838784,,,,,70.362144,0,41.801617,42.340557,126.55925
Austria,AUT,1976,,,,,20.905320540838947,0,16.36684133322132,15.490193947068596,47.23764417887114,,,,,60.81226,0,47.61011,45.059998,137.41133
Austria,AUT,1977,,,,,25.27130531354022,0,16.63947943618756,12.963160063550575,45.12605518672166,,,,,73.69054,0,48.520336,37.800274,131.58653
