state_code,year,month,value,country
1,1909,7,91.5,Alabama
1,1909,8,92.8,Alabama
1,1909,9,87.3,Alabama
1,1909,10,79.1,Alabama
1,1909,11,74.8,Alabama
1,1909,12,52.1,Alabama
1,1910,1,57.6,Alabama
1,1910,2,56.9,Alabama
1,1910,3,75.2,Alabama
1,1910,4,75.8,Alabama
1,1910,5,81.9,Alabama
1,1910,6,86.9,Alabama
1,1910,7,88.8,Alabama
1,1910,8,91.2,Alabama
1,1910,9,90.3,Alabama
1,1910,10,79.5,Alabama
1,1910,11,64.1,Alabama
1,1910,12,53.2,Alabama
1,1911,1,61.3,Alabama
1,1911,2,65.4,Alabama
1,1911,3,71.1,Alabama
1,1911,4,74.9,Alabama
1,1911,5,86.6,Alabama
1,1911,6,93.9,Alabama
1,1911,7,89.1,Alabama
1,1911,8,89.8,Alabama
1,1911,9,92.5,Alabama
1,1911,10,80.4,Alabama
1,1911,11,62.6,Alabama
1,1911,12,60.1,Alabama
1,1912,1,51.4,Alabama
1,1912,2,55.1,Alabama
1,1912,3,63.6,Alabama
1,1912,4,76.0,Alabama
1,1912,5,84.8,Alabama
1,1912,6,85.8,Alabama
1,1912,7,90.2,Alabama
1,1912,8,90.2,Alabama
1,1912,9,87.5,Alabama
1,1912,10,77.6,Alabama
1,1912,11,64.8,Alabama
1,1912,12,56.9,Alabama
1,1913,1,62.5,Alabama
1,1913,2,58.2,Alabama
1,1913,3,66.5,Alabama
1,1913,4,75.0,Alabama
1,1913,5,84.6,Alabama
1,1913,6,91.1,Alabama
1,1913,7,92.7,Alabama
1,1913,8,93.4,Alabama
1,1913,9,84.0,Alabama
1,1913,10,73.9,Alabama
1,1913,11,70.1,Alabama
1,1913,12,57.2,Alabama
1,1914,1,58.8,Alabama
1,1914,2,57.4,Alabama
1,1914,3,62.2,Alabama
1,1914,4,76.7,Alabama
1,1914,5,85.4,Alabama
1,1914,6,96.4,Alabama
1,1914,7,93.9,Alabama
1,1914,8,89.6,Alabama
1,1914,9,84.5,Alabama
1,1914,10,74.8,Alabama
1,1914,11,65.8,Alabama
1,1914,12,51.5,Alabama
1,1915,1,53.3,Alabama
1,1915,2,58.9,Alabama
1,1915,3,58.1,Alabama
1,1915,4,79.0,Alabama
1,1915,5,86.1,Alabama
1,1915,6,90.8,Alabama
1,1915,7,92.2,Alabama
1,1915,8,90.1,Alabama
1,1915,9,88.5,Alabama
1,1915,10,78.0,Alabama
1,1915,11,70.4,Alabama
1,1915,12,58.0,Alabama
1,1916,1,62.6,Alabama
1,1916,2,59.9,Alabama
1,1916,3,67.1,Alabama
1,1916,4,74.7,Alabama
1,1916,5,86.2,Alabama
1,1916,6,89.0,Alabama
1,1916,7,87.3,Alabama
1,1916,8,91.3,Alabama
1,1916,9,86.6,Alabama
1,1916,10,78.0,Alabama
1,1916,11,68.5,Alabama
1,1916,12,58.2,Alabama
1,1917,1,60.0,Alabama
1,1917,2,60.9,Alabama
1,1917,3,68.7,Alabama
1,1917,4,77.5,Alabama
1,1917,5,79.7,Alabama
1,1917,6,90.9,Alabama
1,1917,7,90.9,Alabama
1,1917,8,89.5,Alabama
1,1917,9,84.4,Alabama
1,1917,10,73.4,Alabama
1,1917,11,64.3,Alabama
1,1917,12,50.9,Alabama
1,1918,1,48.6,Alabama
1,1918,2,65.2,Alabama
1,1918,3,74.6,Alabama
1,1918,4,71.8,Alabama
1,1918,5,85.3,Alabama
1,1918,6,92.2,Alabama
1,1918,7,90.6,Alabama
1,1918,8,92.4,Alabama
1,1918,9,83.1,Alabama
1,1918,10,78.4,Alabama
1,1918,11,64.5,Alabama
1,1918,12,59.5,Alabama
1,1919,1,56.3,Alabama
1,1919,2,58.5,Alabama
1,1919,3,69.0,Alabama
1,1919,4,76.2,Alabama
1,1919,5,79.8,Alabama
1,1919,6,88.9,Alabama
1,1919,7,90.1,Alabama
1,1919,8,89.6,Alabama
1,1919,9,88.2,Alabama
1,1919,10,84.7,Alabama
1,1919,11,69.0,Alabama
1,1919,12,58.8,Alabama
1,1920,1,56.8,Alabama
1,1920,2,56.5,Alabama
1,1920,3,63.7,Alabama
1,1920,4,73.7,Alabama
1,1920,5,80.9,Alabama
1,1920,6,88.7,Alabama
1,1920,7,90.1,Alabama
1,1920,8,87.4,Alabama
1,1920,9,87.9,Alabama
1,1920,10,78.4,Alabama
1,1920,11,63.3,Alabama
1,1920,12,55.2,Alabama
1,1921,1,61.1,Alabama
1,1921,2,62.0,Alabama
1,1921,3,75.9,Alabama
1,1921,4,74.5,Alabama
1,1921,5,82.3,Alabama
1,1921,6,93.2,Alabama
1,1921,7,92.9,Alabama
1,1921,8,91.8,Alabama
1,1921,9,93.2,Alabama
1,1921,10,76.7,Alabama
1,1921,11,70.1,Alabama
1,1921,12,62.6,Alabama
1,1922,1,55.4,Alabama
1,1922,2,64.3,Alabama
1,1922,3,66.6,Alabama
1,1922,4,77.8,Alabama
1,1922,5,82.1,Alabama
1,1922,6,89.9,Alabama
1,1922,7,91.1,Alabama
1,1922,8,90.4,Alabama
1,1922,9,90.0,Alabama
1,1922,10,77.0,Alabama
1,1922,11,69.0,Alabama
1,1922,12,63.7,Alabama
1,1923,1,62.8,Alabama
1,1923,2,57.7,Alabama
1,1923,3,66.7,Alabama
1,1923,4,74.8,Alabama
1,1923,5,79.8,Alabama
1,1923,6,87.4,Alabama
1,1923,7,89.4,Alabama
1,1923,8,88.5,Alabama
1,1923,9,87.7,Alabama
1,1923,10,76.0,Alabama
1,1923,11,63.7,Alabama
1,1923,12,62.8,Alabama
1,1924,1,52.7,Alabama
1,1924,2,58.0,Alabama
1,1924,3,61.8,Alabama
1,1924,4,74.8,Alabama
1,1924,5,79.5,Alabama
1,1924,6,90.6,Alabama
1,1924,7,91.9,Alabama
1,1924,8,94.3,Alabama
1,1924,9,83.6,Alabama
1,1924,10,79.1,Alabama
1,1924,11,69.7,Alabama
1,1924,12,58.5,Alabama
1,1925,1,57.2,Alabama
1,1925,2,64.3,Alabama
1,1925,3,70.8,Alabama
1,1925,4,80.8,Alabama
1,1925,5,82.6,Alabama
1,1925,6,93.3,Alabama
1,1925,7,93.6,Alabama
1,1925,8,93.3,Alabama
1,1925,9,96.8,Alabama
1,1925,10,75.8,Alabama
1,1925,11,63.2,Alabama
1,1925,12,55.7,Alabama
1,1926,1,53.8,Alabama
1,1926,2,62.1,Alabama
1,1926,3,59.8,Alabama
1,1926,4,74.0,Alabama
1,1926,5,83.4,Alabama
1,1926,6,89.4,Alabama
1,1926,7,90.9,Alabama
1,1926,8,90.4,Alabama
1,1926,9,89.8,Alabama
1,1926,10,78.3,Alabama
1,1926,11,61.5,Alabama
1,1926,12,61.8,Alabama
1,1927,1,59.5,Alabama
1,1927,2,68.7,Alabama
1,1927,3,67.4,Alabama
1,1927,4,79.8,Alabama
1,1927,5,84.8,Alabama
1,1927,6,88.3,Alabama
1,1927,7,92.4,Alabama
1,1927,8,89.8,Alabama
1,1927,9,90.8,Alabama
1,1927,10,81.5,Alabama
1,1927,11,71.4,Alabama
1,1927,12,57.0,Alabama
1,1928,1,56.0,Alabama
1,1928,2,59.0,Alabama
1,1928,3,67.1,Alabama
1,1928,4,71.4,Alabama
1,1928,5,81.5,Alabama
1,1928,6,86.0,Alabama
1,1928,7,91.4,Alabama
1,1928,8,91.6,Alabama
1,1928,9,84.8,Alabama
1,1928,10,79.4,Alabama
1,1928,11,64.5,Alabama
1,1928,12,58.3,Alabama
1,1929,1,59.9,Alabama
1,1929,2,56.4,Alabama
1,1929,3,70.5,Alabama
1,1929,4,78.1,Alabama
1,1929,5,82.1,Alabama
1,1929,6,88.5,Alabama
1,1929,7,91.4,Alabama
1,1929,8,93.0,Alabama
1,1929,9,84.9,Alabama
1,1929,10,74.4,Alabama
1,1929,11,62.6,Alabama
1,1929,12,56.2,Alabama
1,1930,1,55.7,Alabama
1,1930,2,65.8,Alabama
1,1930,3,62.8,Alabama
1,1930,4,78.8,Alabama
1,1930,5,84.4,Alabama
1,1930,6,89.9,Alabama
1,1930,7,96.9,Alabama
1,1930,8,91.7,Alabama
1,1930,9,86.9,Alabama
1,1930,10,73.6,Alabama
1,1930,11,62.6,Alabama
1,1930,12,52.3,Alabama
1,1931,1,55.3,Alabama
1,1931,2,61.6,Alabama
1,1931,3,60.7,Alabama
1,1931,4,74.0,Alabama
1,1931,5,80.7,Alabama
1,1931,6,93.8,Alabama
1,1931,7,92.5,Alabama
1,1931,8,89.0,Alabama
1,1931,9,92.2,Alabama
1,1931,10,80.9,Alabama
1,1931,11,73.0,Alabama
1,1931,12,63.6,Alabama
1,1932,1,62.5,Alabama
1,1932,2,68.0,Alabama
1,1932,3,63.0,Alabama
1,1932,4,77.2,Alabama
1,1932,5,81.3,Alabama
1,1932,6,90.0,Alabama
1,1932,7,93.6,Alabama
1,1932,8,91.1,Alabama
1,1932,9,84.7,Alabama
1,1932,10,74.7,Alabama
1,1932,11,60.5,Alabama
1,1932,12,58.9,Alabama
1,1933,1,61.6,Alabama
1,1933,2,58.7,Alabama
1,1933,3,67.4,Alabama
1,1933,4,73.7,Alabama
1,1933,5,87.7,Alabama
1,1933,6,91.8,Alabama
1,1933,7,89.3,Alabama
1,1933,8,90.8,Alabama
1,1933,9,91.6,Alabama
1,1933,10,78.1,Alabama
1,1933,11,67.1,Alabama
1,1933,12,66.5,Alabama
1,1934,1,58.6,Alabama
1,1934,2,56.4,Alabama
1,1934,3,65.9,Alabama
1,1934,4,76.1,Alabama
1,1934,5,83.0,Alabama
1,1934,6,91.1,Alabama
1,1934,7,92.0,Alabama
1,1934,8,90.4,Alabama
1,1934,9,86.5,Alabama
1,1934,10,78.5,Alabama
1,1934,11,68.4,Alabama
1,1934,12,55.3,Alabama
1,1935,1,57.9,Alabama
1,1935,2,60.3,Alabama
1,1935,3,72.2,Alabama
1,1935,4,75.0,Alabama
1,1935,5,83.8,Alabama
1,1935,6,88.3,Alabama
1,1935,7,91.9,Alabama
1,1935,8,91.8,Alabama
1,1935,9,86.2,Alabama
1,1935,10,80.0,Alabama
1,1935,11,66.1,Alabama
1,1935,12,49.4,Alabama
1,1936,1,54.2,Alabama
1,1936,2,55.8,Alabama
1,1936,3,71.4,Alabama
1,1936,4,73.6,Alabama
1,1936,5,85.7,Alabama
1,1936,6,94.6,Alabama
1,1936,7,92.6,Alabama
1,1936,8,91.5,Alabama
1,1936,9,89.3,Alabama
1,1936,10,78.2,Alabama
1,1936,11,64.1,Alabama
1,1936,12,58.5,Alabama
1,1937,1,65.0,Alabama
1,1937,2,58.3,Alabama
1,1937,3,64.7,Alabama
1,1937,4,75.8,Alabama
1,1937,5,84.4,Alabama
1,1937,6,91.3,Alabama
1,1937,7,91.3,Alabama
1,1937,8,91.3,Alabama
1,1937,9,84.2,Alabama
1,1937,10,73.0,Alabama
1,1937,11,61.4,Alabama
1,1937,12,55.9,Alabama
1,1938,1,56.8,Alabama
1,1938,2,66.0,Alabama
1,1938,3,73.9,Alabama
1,1938,4,75.2,Alabama
1,1938,5,84.0,Alabama
1,1938,6,88.2,Alabama
1,1938,7,90.2,Alabama
1,1938,8,92.6,Alabama
1,1938,9,87.2,Alabama
1,1938,10,80.5,Alabama
1,1938,11,68.6,Alabama
1,1938,12,57.7,Alabama
1,1939,1,60.4,Alabama
1,1939,2,63.2,Alabama
1,1939,3,70.3,Alabama
1,1939,4,74.0,Alabama
1,1939,5,81.5,Alabama
1,1939,6,88.6,Alabama
1,1939,7,91.4,Alabama
1,1939,8,88.3,Alabama
1,1939,9,88.1,Alabama
1,1939,10,79.1,Alabama
1,1939,11,64.1,Alabama
1,1939,12,60.0,Alabama
1,1940,1,43.0,Alabama
1,1940,2,54.3,Alabama
1,1940,3,66.3,Alabama
1,1940,4,72.8,Alabama
1,1940,5,81.7,Alabama
1,1940,6,87.6,Alabama
1,1940,7,87.8,Alabama
1,1940,8,90.7,Alabama
1,1940,9,86.5,Alabama
1,1940,10,79.9,Alabama
1,1940,11,65.0,Alabama
1,1940,12,60.1,Alabama
1,1941,1,57.9,Alabama
1,1941,2,53.3,Alabama
1,1941,3,60.6,Alabama
1,1941,4,77.3,Alabama
1,1941,5,86.8,Alabama
1,1941,6,89.6,Alabama
1,1941,7,90.0,Alabama
1,1941,8,90.8,Alabama
1,1941,9,89.1,Alabama
1,1941,10,83.0,Alabama
1,1941,11,66.1,Alabama
1,1941,12,59.9,Alabama
1,1942,1,55.5,Alabama
1,1942,2,53.6,Alabama
1,1942,3,65.8,Alabama
1,1942,4,78.3,Alabama
1,1942,5,83.5,Alabama
1,1942,6,89.2,Alabama
1,1942,7,91.4,Alabama
1,1942,8,88.5,Alabama
1,1942,9,84.3,Alabama
1,1942,10,78.1,Alabama
1,1942,11,69.5,Alabama
1,1942,12,58.4,Alabama
1,1943,1,59.1,Alabama
1,1943,2,62.8,Alabama
1,1943,3,64.5,Alabama
1,1943,4,76.3,Alabama
1,1943,5,85.7,Alabama
1,1943,6,93.0,Alabama
1,1943,7,92.3,Alabama
1,1943,8,93.9,Alabama
1,1943,9,83.1,Alabama
1,1943,10,75.8,Alabama
1,1943,11,65.9,Alabama
1,1943,12,56.4,Alabama
1,1944,1,56.3,Alabama
1,1944,2,64.3,Alabama
1,1944,3,68.1,Alabama
1,1944,4,73.3,Alabama
1,1944,5,85.1,Alabama
1,1944,6,93.2,Alabama
1,1944,7,91.8,Alabama
1,1944,8,89.0,Alabama
1,1944,9,85.8,Alabama
1,1944,10,77.9,Alabama
1,1944,11,65.4,Alabama
1,1944,12,55.7,Alabama
