state_code,year,month,value,country
1,1909,7,80.4,Alabama
1,1909,8,81.0,Alabama
1,1909,9,75.3,Alabama
1,1909,10,63.2,Alabama
1,1909,11,59.5,Alabama
1,1909,12,40.8,Alabama
1,1910,1,45.3,Alabama
1,1910,2,44.9,Alabama
1,1910,3,60.6,Alabama
1,1910,4,61.7,Alabama
1,1910,5,69.0,Alabama
1,1910,6,75.5,Alabama
1,1910,7,78.8,Alabama
1,1910,8,79.6,Alabama
1,1910,9,77.4,Alabama
1,1910,10,66.4,Alabama
1,1910,11,50.9,Alabama
1,1910,12,41.9,Alabama
1,1911,1,49.9,Alabama
1,1911,2,54.2,Alabama
1,1911,3,57.7,Alabama
1,1911,4,63.5,Alabama
1,1911,5,72.7,Alabama
1,1911,6,80.7,Alabama
1,1911,7,78.1,Alabama
1,1911,8,79.0,Alabama
1,1911,9,80.2,Alabama
1,1911,10,68.5,Alabama
1,1911,11,50.1,Alabama
1,1911,12,49.3,Alabama
1,1912,1,40.2,Alabama
1,1912,2,42.7,Alabama
1,1912,3,52.3,Alabama
1,1912,4,64.4,Alabama
1,1912,5,72.0,Alabama
1,1912,6,75.1,Alabama
1,1912,7,79.7,Alabama
1,1912,8,79.1,Alabama
1,1912,9,76.9,Alabama
1,1912,10,65.9,Alabama
1,1912,11,50.2,Alabama
1,1912,12,46.9,Alabama
1,1913,1,51.2,Alabama
1,1913,2,46.8,Alabama
1,1913,3,55.0,Alabama
1,1913,4,62.0,Alabama
1,1913,5,71.4,Alabama
1,1913,6,77.8,Alabama
1,1913,7,81.3,Alabama
1,1913,8,80.6,Alabama
1,1913,9,73.2,Alabama
1,1913,10,60.8,Alabama
1,1913,11,55.8,Alabama
1,1913,12,47.4,Alabama
1,1914,1,47.0,Alabama
1,1914,2,45.4,Alabama
1,1914,3,50.0,Alabama
1,1914,4,63.8,Alabama
1,1914,5,71.6,Alabama
1,1914,6,83.1,Alabama
1,1914,7,81.8,Alabama
1,1914,8,79.2,Alabama
1,1914,9,73.2,Alabama
1,1914,10,63.8,Alabama
1,1914,11,52.3,Alabama
1,1914,12,42.8,Alabama
1,1915,1,42.5,Alabama
1,1915,2,47.8,Alabama
1,1915,3,46.4,Alabama
1,1915,4,64.3,Alabama
1,1915,5,74.3,Alabama
1,1915,6,78.5,Alabama
1,1915,7,80.4,Alabama
1,1915,8,79.1,Alabama
1,1915,9,76.4,Alabama
1,1915,10,66.3,Alabama
1,1915,11,56.3,Alabama
1,1915,12,46.1,Alabama
1,1916,1,51.8,Alabama
1,1916,2,46.8,Alabama
1,1916,3,53.8,Alabama
1,1916,4,61.8,Alabama
1,1916,5,73.0,Alabama
1,1916,6,77.1,Alabama
1,1916,7,78.6,Alabama
1,1916,8,79.8,Alabama
1,1916,9,73.6,Alabama
1,1916,10,64.2,Alabama
1,1916,11,54.0,Alabama
1,1916,12,46.8,Alabama
1,1917,1,49.7,Alabama
1,1917,2,48.4,Alabama
1,1917,3,56.4,Alabama
1,1917,4,63.6,Alabama
1,1917,5,66.0,Alabama
1,1917,6,77.8,Alabama
1,1917,7,79.8,Alabama
1,1917,8,78.4,Alabama
1,1917,9,73.2,Alabama
1,1917,10,58.5,Alabama
1,1917,11,50.6,Alabama
1,1917,12,39.8,Alabama
1,1918,1,37.4,Alabama
1,1918,2,53.2,Alabama
1,1918,3,61.8,Alabama
1,1918,4,60.9,Alabama
1,1918,5,72.6,Alabama
1,1918,6,79.6,Alabama
1,1918,7,78.2,Alabama
1,1918,8,80.3,Alabama
1,1918,9,70.4,Alabama
1,1918,10,68.6,Alabama
1,1918,11,52.6,Alabama
1,1918,12,49.8,Alabama
1,1919,1,44.0,Alabama
1,1919,2,47.5,Alabama
1,1919,3,56.1,Alabama
1,1919,4,62.3,Alabama
1,1919,5,69.0,Alabama
1,1919,6,78.2,Alabama
1,1919,7,79.7,Alabama
1,1919,8,79.2,Alabama
1,1919,9,75.1,Alabama
1,1919,10,74.0,Alabama
1,1919,11,57.0,Alabama
1,1919,12,47.0,Alabama
1,1920,1,46.9,Alabama
1,1920,2,46.2,Alabama
1,1920,3,52.1,Alabama
1,1920,4,62.2,Alabama
1,1920,5,70.4,Alabama
1,1920,6,76.9,Alabama
1,1920,7,79.4,Alabama
1,1920,8,77.6,Alabama
1,1920,9,76.8,Alabama
1,1920,10,63.8,Alabama
1,1920,11,50.6,Alabama
1,1920,12,44.7,Alabama
1,1921,1,49.3,Alabama
1,1921,2,50.3,Alabama
1,1921,3,63.4,Alabama
1,1921,4,61.8,Alabama
1,1921,5,69.9,Alabama
1,1921,6,80.5,Alabama
1,1921,7,81.4,Alabama
1,1921,8,80.4,Alabama
1,1921,9,80.9,Alabama
1,1921,10,62.4,Alabama
1,1921,11,57.6,Alabama
1,1921,12,50.6,Alabama
1,1922,1,46.4,Alabama
1,1922,2,53.8,Alabama
1,1922,3,55.4,Alabama
1,1922,4,66.3,Alabama
1,1922,5,71.6,Alabama
1,1922,6,78.5,Alabama
1,1922,7,79.8,Alabama
1,1922,8,78.8,Alabama
1,1922,9,77.0,Alabama
1,1922,10,64.6,Alabama
1,1922,11,56.5,Alabama
1,1922,12,53.3,Alabama
1,1923,1,50.9,Alabama
1,1923,2,46.8,Alabama
1,1923,3,54.2,Alabama
1,1923,4,62.8,Alabama
1,1923,5,69.1,Alabama
1,1923,6,76.6,Alabama
1,1923,7,78.5,Alabama
1,1923,8,78.7,Alabama
1,1923,9,75.8,Alabama
1,1923,10,63.0,Alabama
1,1923,11,51.1,Alabama
1,1923,12,53.5,Alabama
1,1924,1,40.6,Alabama
1,1924,2,46.5,Alabama
1,1924,3,50.4,Alabama
1,1924,4,62.6,Alabama
1,1924,5,67.3,Alabama
1,1924,6,79.5,Alabama
1,1924,7,79.7,Alabama
1,1924,8,81.5,Alabama
1,1924,9,72.4,Alabama
1,1924,10,64.0,Alabama
1,1924,11,55.1,Alabama
1,1924,12,47.4,Alabama
1,1925,1,47.1,Alabama
1,1925,2,52.2,Alabama
1,1925,3,57.2,Alabama
1,1925,4,67.3,Alabama
1,1925,5,69.4,Alabama
1,1925,6,80.6,Alabama
1,1925,7,81.6,Alabama
1,1925,8,80.4,Alabama
1,1925,9,83.1,Alabama
1,1925,10,64.8,Alabama
1,1925,11,51.8,Alabama
1,1925,12,44.0,Alabama
1,1926,1,43.8,Alabama
1,1926,2,50.1,Alabama
1,1926,3,49.0,Alabama
1,1926,4,60.4,Alabama
1,1926,5,70.0,Alabama
1,1926,6,77.3,Alabama
1,1926,7,79.1,Alabama
1,1926,8,80.3,Alabama
1,1926,9,79.0,Alabama
1,1926,10,66.0,Alabama
1,1926,11,49.4,Alabama
1,1926,12,50.4,Alabama
1,1927,1,47.8,Alabama
1,1927,2,57.7,Alabama
1,1927,3,56.0,Alabama
1,1927,4,67.6,Alabama
1,1927,5,72.6,Alabama
1,1927,6,78.0,Alabama
1,1927,7,80.6,Alabama
1,1927,8,78.0,Alabama
1,1927,9,77.1,Alabama
1,1927,10,66.5,Alabama
1,1927,11,59.3,Alabama
1,1927,12,45.8,Alabama
1,1928,1,44.0,Alabama
1,1928,2,47.3,Alabama
1,1928,3,55.2,Alabama
1,1928,4,59.2,Alabama
1,1928,5,69.1,Alabama
1,1928,6,75.8,Alabama
1,1928,7,80.5,Alabama
1,1928,8,80.6,Alabama
1,1928,9,72.9,Alabama
1,1928,10,67.2,Alabama
1,1928,11,52.3,Alabama
1,1928,12,45.7,Alabama
1,1929,1,48.1,Alabama
1,1929,2,45.4,Alabama
1,1929,3,58.7,Alabama
1,1929,4,66.4,Alabama
1,1929,5,71.1,Alabama
1,1929,6,77.0,Alabama
1,1929,7,79.8,Alabama
1,1929,8,79.9,Alabama
1,1929,9,74.4,Alabama
1,1929,10,62.3,Alabama
1,1929,11,53.9,Alabama
1,1929,12,44.2,Alabama
1,1930,1,44.8,Alabama
1,1930,2,53.1,Alabama
1,1930,3,51.6,Alabama
1,1930,4,64.6,Alabama
1,1930,5,72.3,Alabama
1,1930,6,76.8,Alabama
1,1930,7,83.4,Alabama
1,1930,8,79.1,Alabama
1,1930,9,76.4,Alabama
1,1930,10,61.5,Alabama
1,1930,11,52.9,Alabama
1,1930,12,42.7,Alabama
1,1931,1,43.7,Alabama
1,1931,2,48.9,Alabama
1,1931,3,49.1,Alabama
1,1931,4,60.8,Alabama
1,1931,5,67.9,Alabama
1,1931,6,79.2,Alabama
1,1931,7,81.2,Alabama
1,1931,8,77.4,Alabama
1,1931,9,78.9,Alabama
1,1931,10,67.5,Alabama
1,1931,11,59.7,Alabama
1,1931,12,54.3,Alabama
1,1932,1,51.9,Alabama
1,1932,2,56.9,Alabama
1,1932,3,50.7,Alabama
1,1932,4,63.9,Alabama
1,1932,5,69.4,Alabama
1,1932,6,78.5,Alabama
1,1932,7,82.4,Alabama
1,1932,8,80.2,Alabama
1,1932,9,74.3,Alabama
1,1932,10,62.0,Alabama
1,1932,11,48.9,Alabama
1,1932,12,49.1,Alabama
1,1933,1,51.4,Alabama
1,1933,2,48.1,Alabama
1,1933,3,54.9,Alabama
1,1933,4,62.0,Alabama
1,1933,5,75.6,Alabama
1,1933,6,78.0,Alabama
1,1933,7,79.0,Alabama
1,1933,8,79.6,Alabama
1,1933,9,78.8,Alabama
1,1933,10,65.2,Alabama
1,1933,11,53.7,Alabama
1,1933,12,54.9,Alabama
1,1934,1,48.3,Alabama
1,1934,2,43.8,Alabama
1,1934,3,53.0,Alabama
1,1934,4,63.4,Alabama
1,1934,5,71.2,Alabama
1,1934,6,79.4,Alabama
1,1934,7,81.2,Alabama
1,1934,8,80.1,Alabama
1,1934,9,74.0,Alabama
1,1934,10,65.8,Alabama
1,1934,11,55.8,Alabama
1,1934,12,44.8,Alabama
1,1935,1,46.7,Alabama
1,1935,2,48.5,Alabama
1,1935,3,60.4,Alabama
1,1935,4,63.7,Alabama
1,1935,5,71.9,Alabama
1,1935,6,76.3,Alabama
1,1935,7,80.6,Alabama
1,1935,8,80.9,Alabama
1,1935,9,74.1,Alabama
1,1935,10,66.0,Alabama
1,1935,11,54.7,Alabama
1,1935,12,39.1,Alabama
1,1936,1,43.1,Alabama
1,1936,2,44.5,Alabama
1,1936,3,58.3,Alabama
1,1936,4,61.2,Alabama
1,1936,5,72.7,Alabama
1,1936,6,80.3,Alabama
1,1936,7,81.2,Alabama
1,1936,8,80.2,Alabama
1,1936,9,77.7,Alabama
1,1936,10,66.0,Alabama
1,1936,11,51.8,Alabama
1,1936,12,48.7,Alabama
1,1937,1,57.0,Alabama
1,1937,2,47.5,Alabama
1,1937,3,52.1,Alabama
1,1937,4,62.5,Alabama
1,1937,5,72.2,Alabama
1,1937,6,79.6,Alabama
1,1937,7,79.4,Alabama
1,1937,8,80.3,Alabama
1,1937,9,72.8,Alabama
1,1937,10,61.8,Alabama
1,1937,11,50.1,Alabama
1,1937,12,45.4,Alabama
1,1938,1,46.2,Alabama
1,1938,2,54.0,Alabama
1,1938,3,62.0,Alabama
1,1938,4,63.0,Alabama
1,1938,5,72.1,Alabama
1,1938,6,76.6,Alabama
1,1938,7,79.8,Alabama
1,1938,8,80.8,Alabama
1,1938,9,74.2,Alabama
1,1938,10,65.2,Alabama
