DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2014,7286350,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2015,7295584,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2016,7326873,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2017,7328664,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2018,7333992,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2019,7350494,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2020,7375684,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2021,7389952,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2022,7416490,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2023,7493388,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2014,4709758,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2015,4613267,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2016,4512841,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2017,4418298,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2018,4325143,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2019,4232569,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2020,4144270,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2021,4105729,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2022,4047300,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Bulgaria,2023,4018908,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2014,6661464,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2015,6613355,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2016,6577321,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2017,6529899,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2018,6477226,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belarus,2019,6430752,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2014,5494607,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2015,5547120,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2016,5595282,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2017,5641500,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2018,5664710,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2019,5683480,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2020,5705315,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2021,5734359,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2022,5757830,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Switzerland,2023,5797001,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2014,599395,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2015,584081,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2016,580541,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2017,582452,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2018,586727,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2019,593583,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2020,600733,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2021,605000,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2022,609929,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Cyprus,2023,619348,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2014,7109420,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2015,7056824,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2016,6997715,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2017,6942623,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2018,6899195,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2019,6870123,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2020,6852107,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Czechia,2021,6658623,b,
